player_total,is_soft,dealer_up,true_count,best_action,Q_hit,Q_stand,Q_double,Q_surrender,thorp_action,matches_thorp,visit_count
4,False,8,-2,H,0.1667,-0.5000,-0.5000,-0.5000,H,True,8
4,False,8,-1,H,0.3158,-0.5000,-0.5000,-0.5000,H,True,9
4,False,8,0,H,0.1935,-0.5000,-0.5000,-0.5000,H,True,21
4,False,8,1,H,0.0625,-0.5000,-0.5000,-0.5000,H,True,6
4,False,8,2,H,0.5833,-0.5000,-0.5000,-0.5000,H,True,2
4,False,8,3,H,0.1538,-0.5000,-0.5000,-0.5000,H,True,3
4,False,8,4,H,0.5000,-0.5000,-0.5000,-0.5000,H,True,0
4,False,8,5,H,0.5833,-0.5000,-0.5000,-0.5000,H,True,2
4,False,9,-5,H,0.5833,-0.5000,-0.5000,-0.5000,H,True,2
4,False,9,-4,H,0.4545,-0.5000,-0.5000,-0.5000,H,True,1
4,False,9,-3,H,0.5000,-0.5000,-0.5000,-0.5000,H,True,0
4,False,9,-2,H,0.3750,-0.5000,-0.5000,-0.5000,H,True,6
4,False,9,-1,H,0.0526,-0.5000,-0.5000,-0.5000,H,True,9
4,False,9,0,H,-0.1111,-0.5000,-0.5000,-0.5000,H,True,17
4,False,9,1,H,0.2500,-0.5000,-0.5000,-0.5000,H,True,2
4,False,9,2,H,0.3636,-0.5000,-0.5000,-0.5000,H,True,1
4,False,9,3,H,0.3636,-0.5000,-0.5000,-0.5000,H,True,1
4,False,9,4,H,0.5000,-0.5000,-0.5000,-0.5000,H,True,0
4,False,9,5,H,0.5000,-0.5000,-0.5000,-0.5000,H,True,0
4,False,10,-5,H,0.4615,-0.5000,-0.5000,-0.5000,H,True,3
4,False,10,-4,H,0.3571,-0.5000,-0.5000,-0.5000,H,True,4
4,False,10,-3,H,0.5000,-0.5000,-0.5000,-0.5000,H,True,4
4,False,10,-2,H,0.2105,-0.5000,-0.5000,-0.5000,H,True,9
4,False,10,-1,H,0.0357,-0.5000,-0.5000,-0.5000,H,True,18
4,False,10,0,H,-0.2222,-0.5000,-0.5000,-0.5000,H,True,80
4,False,10,1,H,-0.0800,-0.5000,-0.5000,-0.5000,H,True,15
